Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow,Past Annual R&D
AACG,ATA Creativity Global,Education & Training Services,0.9538,USD,CNY,30484402.0,12-31,0.0,79710448.0,35206485.0,456927265.0,79710448.0,268060162.0,126795209.0,184309109.0,-36097777.0,-3345170.0,-93699.0,-20256729.0,
AAL,"American Airlines Group, Inc.",Airlines,9.31,USD,USD,6122032640.0,12-31,0.0,26499000000.0,37544000000.0,61783000000.0,-3977000000.0,54211000000.0,42746000000.0,8241000000.0,846000000.0,3983000000.0,-2794000000.0,-968000000.0,
AAME,Atlantic American Corporation,Insurance - Life,1.5234,USD,USD,32436232.0,12-31,0.02,137319000.0,37761000.0,393428000.0,99558000.0,188227000.0,,,-4268000.0,4800000.0,186000.0,2283000.0,
AAOI,"Applied Optoelectronics, Inc.",Communication Equipment,10.95,USD,USD,550235328.0,12-31,0.0,409551000.0,190860000.0,547032000.0,229112000.0,249365000.0,187565000.0,132313000.0,-186733000.0,-69526000.0,142179000.0,-50697000.0,
AAON,"AAON, Inc.",Building Products & Equipment,79.9,USD,USD,6875834880.0,12-31,0.32,979473000.0,170964000.0,1175234000.0,824582000.0,1200635000.0,803526000.0,188014000.0,168559000.0,129797000.0,18034000.0,-213075000.0,
AAPG,Ascentage Pharma Group Internat,Biotechnology,21.6,USD,CNY,1882941184.0,12-31,0.0,1833331000.0,1795595000.0,2500393000.0,60417000.0,221984000.0,30543000.0,1064077000.0,-925637000.0,-726077000.0,368751000.0,21922000.0,
AAPL,Apple Inc.,Consumer Electronics,199.74,USD,USD,3059856965632.0,09-28,0.99,163579000000.0,106629000000.0,364980000000.0,56950000000.0,391035000000.0,210352000000.0,57467000000.0,93736000000.0,118254000000.0,-121983000000.0,2935000000.0,
AARD,"Aardvark Therapeutics, Inc.",Biotechnology,7.66,USD,USD,166190592.0,12-31,0.0,-54643000.0,779000.0,77507000.0,-54643000.0,0.0,,,-20588000.0,-18087000.0,81991000.0,-11998000.0,
ABAT,American Battery Technology Com,Other Industrial Metals & Mining,1.07,USD,USD,93790640.0,06-30,0.0,67915001.0,6501665.0,77675132.0,61467640.0,343500.0,3304707.0,34554429.0,-52501824.0,-16736231.0,34387087.0,-12969219.0,
ABCL,AbCellera Biologics Inc.,Biotechnology,2.52,USD,USD,750929728.0,12-31,0.0,1056084000.0,65364000.0,1360553000.0,1056084000.0,28833000.0,0.0,329979000.0,-162857000.0,-108556000.0,12769000.0,121409000.0,
ABEO,Abeona Therapeutics Inc.,Biotechnology,5.28,USD,USD,257663488.0,12-31,0.0,62994000.0,23048000.0,108931000.0,44031000.0,0.0,0.0,64211000.0,-63734000.0,-56015000.0,104139000.0,-39240000.0,
ABL,"Abacus Global Management, Inc.",Insurance - Life,8.135,USD,USD,796697152.0,12-31,0.0,804970603.0,385913855.0,874164752.0,424152503.0,111923786.0,11371733.0,98708060.0,-23961050.0,-208810444.0,320121348.0,-4955290.0,
