Ticker,Company Name,Industry,Market Price,Market Cap,Market Currency,EBIT/Market Cap,ROIC,D/P,Total Debt/Common Equity,Combined_rank
601225.SS,SHAANXI COAL INDUSTRY,Thermal Coal,20.29,197197709312.0,CNY,0.22483697243851278,0.48096892224516513,0.07525874815179892,0.057420605672785285,253.0
601699.SS,SHANXI LU'AN ENV.ENERGY DEV.CO.,Thermal Coal,11.28,33922232320.0,CNY,0.3472566056758261,0.2397509052464143,0.14086879432624114,0.049146094859822125,271.0
002737.SZ,SUNFLOWER PHARMACE,Drug Manufacturers - Specialty & Generic,16.74,9776159744.0,CNY,0.13292357231760057,0.27197919813964,0.0896057347670251,0.005566681908241402,337.0
000923.SZ,HBIS RESOURCES CO,Farm & Heavy Construction Machinery,13.73,8961969152.0,CNY,0.17386101425848777,0.16934123536797785,0.043699927166788055,0.0003361229158301021,470.0
601958.SS,JINDUICHENG MOLYBDENUM CO. LTD.,Other Industrial Metals & Mining,9.94,32233431040.0,CNY,0.12019320807183922,0.2277266352183815,0.040241448692152924,0.003519005537700375,484.0
002304.SZ,JIANGSU YANGHE DIS,Beverages - Wineries & Distilleries,72.83,109714759680.0,CNY,0.1118977556717736,0.23637247408140605,0.09597693258272691,0.0014207304885317542,487.0
603855.SS,WAROM TECHNOLOGY INCORPORATED C,Electrical Equipment & Parts,19.66,6635820032.0,CNY,0.10495147206246597,0.3273525638856887,0.0508646998982706,0.008664020890989135,493.0
603589.SS,ANHUI KOUZI DISTILLERY CO LTD,Beverages - Wineries & Distilleries,35.13,21114079232.0,CNY,0.10966332481933538,0.23749646564537194,0.04269854824935952,0.0002841076769965148,510.0
002867.SZ,CHOW TAI SENG JEWE,Luxury Goods,13.52,14816973824.0,CNY,0.12052702310557861,0.2706010268190607,0.07026627218934911,0.049458251206169354,527.0
002677.SZ,ZHEJIANG MEIDA IND,"Furnishings, Fixtures & Appliances",7.18,4638652928.0,CNY,0.10452012187276111,0.23900362896812005,0.10445682451253482,0.001601294300287752,533.0
600938.SS,CNOOC LIMITED,Oil & Gas E&P,25.14,786356568064.0,CNY,0.24512035357516376,0.23254652390288041,0.052346857597454256,0.1229178594551788,542.0
603948.SS,ZHEJIANG JIANYE CHEMICAL CO LTD,Chemicals,17.75,2884179712.0,CNY,0.12565944818975275,0.17951642397618162,0.056338028169014086,0.0006736560964504211,542.0
603801.SS,ZBOM HOME COLLECTION CO LTD,"Furnishings, Fixtures & Appliances",11.49,5209198080.0,CNY,0.14889465581811764,0.21896789792837398,0.060922541340295906,0.08015112984079906,559.0
000650.SZ,RENHE PHARMACY CO,Drug Manufacturers - Specialty & Generic,5.36,7503678464.0,CNY,0.13714782442335743,0.17171814434671484,0.03731343283582089,0.0009666039673712637,566.0
600916.SS,CHINA NATIONAL GOLD GROUP GOLD ,Luxury Goods,8.67,15203972096.0,CNY,0.11014155695211798,0.22679913898691412,0.051903114186851215,0.02944301986162309,627.0
600987.SS,ZHEJIANG HANGMIN CO,Textile Manufacturing,7.17,7554025472.0,CNY,0.1360780150080489,0.16078706043617497,0.04184100418410042,0.007713765183621641,664.0
300861.SZ,YANGLING METRON NE,Specialty Industrial Machinery,17.11,8213005824.0,CNY,0.246633052375393,0.31459262573286373,0.008766803039158387,0.013056092657911259,672.0
603929.SS,L AND K ENGINEERING (SUZHOU) CO,Engineering & Construction,31.85,6795515904.0,CNY,0.08604105676595293,0.31973433407940965,0.03139717425431711,7.024776953454274e-05,688.0
605599.SS,BEIJING CAISHIKOU DEPARTMENT ST,Luxury Goods,12.36,10118884352.0,CNY,0.09252771851325133,0.24741224056913919,0.05663430420711974,0.018225528474506408,706.0
300532.SZ,NEW TREND INTERNAT,Software - Application,11.28,5113494528.0,CNY,0.09311150278207547,0.28179077587796625,0.048936170212765966,0.026808930463885453,708.0
603279.SS,JINGJIN EQUIPMENT INC,Pollution & Treatment Controls,17.08,9845885952.0,CNY,0.11502391076345464,0.23921754909854956,0.0386416861826698,0.06509081947761637,709.0
000983.SZ,SHANXI COKING CO.E,Thermal Coal,6.68,37923028992.0,CNY,0.32658912247206606,0.27244419139984016,0.11976047904191618,0.26598091189190665,733.0
600566.SS,HUBEI JUMPCAN PHARMACEUTICAL CO,Drug Manufacturers - Specialty & Generic,25.79,24093353984.0,CNY,0.12040510991730259,0.20156047761396773,0.05040713454827453,0.07832306535118798,737.0
603551.SS,AUPU INTELLIGENT TECH CORP LTD,"Furnishings, Fixtures & Appliances",10.08,3933901312.0,CNY,0.09127623269416676,0.22349329678931315,0.10912698412698414,0.013191358899488002,755.0
603587.SS,DAZZLE FASHION CO LTD,Apparel Manufacturing,12.29,5859417600.0,CNY,0.1153991655655333,0.18053643388315999,0.06509357200976404,0.050121977271952604,757.0
000858.SZ,WULIANGYE YIBIN CO,Beverages - Wineries & Distilleries,129.89,504182308864.0,CNY,0.07829768780627422,0.30469932826995255,0.055785664793286636,0.001005224033253727,784.0
002035.SZ,VATTI CORPORATION,"Furnishings, Fixtures & Appliances",6.73,5704711680.0,CNY,0.10919821383155338,0.16863070710006042,0.04457652303120356,0.014789688290442726,786.0
603871.SS,JIAYOU INTERNATIONAL LOGISTICS ,Integrated Freight & Logistics,14.14,13989960704.0,CNY,0.08587289146326972,0.2437062731709433,0.04646393210749646,0.011676858598123842,791.0
300641.SZ,JIANGSU ZHENGDAN C,Chemicals,26.67,14206628864.0,CNY,0.09666613567416975,0.46868904259006733,0.026246719160104983,0.04650607712287702,792.0
600211.SS,TIBET RHODIOLA PHARMACEUTICAL H,Drug Manufacturers - Specialty & Generic,36.45,11829117952.0,CNY,0.09431190254480272,0.266260432968797,0.05368998628257887,0.06978108900395909,800.0
002832.SZ,BIEM L FDLKK GARME,Apparel Manufacturing,17.74,10124342272.0,CNY,0.10634228032052846,0.21987391793678976,0.056369785794813984,0.09508874915647227,804.0
600132.SS,CHONG QING BREWERY CO.LTD,Beverages - Brewers,56.6,27542804480.0,CNY,0.11510241787876205,2.674813692506401,0.04240282685512367,0.14534600545654064,809.0
600582.SS,TIAN DI SCIENCE & TECHNOLOGY,Farm & Heavy Construction Machinery,6.35,26280046592.0,CNY,0.13974803091247123,0.1473096480863848,0.04992125984251969,0.036090870491286973,819.0
601156.SS,EASTERN AIR LOGISTICS CO LTD,Integrated Freight & Logistics,12.47,19796873216.0,CNY,0.21064907284144307,0.2381499360744381,0.05429029671210906,0.2310418659434582,825.0
601001.SS,JINNENG HOLDING SHANXI COAL IND,Thermal Coal,11.5,19515383808.0,CNY,0.27346665998658287,0.2524911319654573,0.06869565217391305,0.2789975526800583,830.0
002088.SZ,LUYANG ENERGY-SAVI,Building Products & Equipment,12.7,6516662272.0,CNY,0.08689801141193773,0.20143308071041607,0.06299212598425198,0.00979835087770648,850.0
601088.SS,CHINA SHENHUA ENERGY COMPANY LT,Thermal Coal,38.6,736028655616.0,CNY,0.11436239521075815,0.1842547090306128,0.05854922279792745,0.1015962854853748,863.0
000848.SZ,CHENG DE LOLO CO L,Beverages - Non-Alcoholic,9.85,10367618048.0,CNY,0.07680304839389857,0.25779628857220444,0.04060913705583757,0.0012945092726236102,873.0
002508.SZ,HANGZHOU ROBAM APP,"Furnishings, Fixtures & Appliances",21.66,20449855488.0,CNY,0.09242601341848665,0.17800988255688752,0.04616805170821791,0.010479655430094305,878.0
300833.SZ,GUANGZHOU HAOYANG,Electrical Equipment & Parts,33.51,4238679808.0,CNY,0.09411589065469694,0.1710744970345804,0.04774694121157864,0.01319731082721597,900.0
000951.SZ,SINOTRUK JINAN TRU,Farm & Heavy Construction Machinery,18.1,21265147904.0,CNY,0.10500867371582982,0.1457127903585603,0.038453038674033144,0.0,903.0
601518.SS,JILIN EXPRESSWAY CO LTD,Infrastructure Operations,2.84,5369161728.0,CNY,0.13427044428563725,0.13384346093225402,0.030281690140845068,0.005591807108026402,906.0
002274.SZ,JIANGSU HUACHANG C,Agricultural Inputs,7.43,7076071936.0,CNY,0.12720751252549176,0.15576498882519832,0.040376850605652756,0.06625040938376787,922.0
603868.SS,SHANGHAI FLYCO ELECTRICAL APPLI,Household & Personal Products,34.4,14984640512.0,CNY,0.07278326460929119,0.30495682867916657,0.06686046511627906,0.007345626304594009,922.0
600546.SS,SHANXI COAL INTERNATIONAL ENERG,Thermal Coal,10.08,20062425088.0,CNY,0.49893913526571976,0.48057086148529277,0.06448412698412699,0.3539236915577075,927.0
000921.SZ,HISENSE HOME APPL.,"Furnishings, Fixtures & Appliances",27.87,36110323712.0,CNY,0.12781454949644303,0.25340383469371836,0.0441334768568353,0.19549425163609177,931.0
600066.SS,YUTONG BUS CO LTD,Farm & Heavy Construction Machinery,27.88,61724643328.0,CNY,0.07611571719376399,0.3499921190330105,0.021520803443328552,0.004437615783275337,943.0
603198.SS,ANHUI YINGJIA DISTILLERY CO,Beverages - Wineries & Distilleries,49.96,39967997952.0,CNY,0.07333831671929726,0.35055454863625335,0.02602081665332266,0.003101282387702267,944.0
600779.SS,SICHUAN SWELLFUN CO LTD,Beverages - Brewers,46.87,22849265664.0,CNY,0.07405356299068849,0.38505530065927096,0.01952208235545125,0.001374154637251018,960.0
001269.SZ,INNER MONGOLIA OJI,Semiconductor Equipment & Materials,21.58,4152143104.0,CNY,0.19912410134744726,0.353682302842423,0.05560704355885079,0.3151057377009347,963.0
002327.SZ,SHENZHEN FUANNA BE,Textile Manufacturing,8.25,6919671296.0,CNY,0.09641678222572031,0.17288069486291538,0.0787878787878788,0.061953499271829846,972.0
300724.SZ,SHENZHEN S C NEW E,Specialty Industrial Machinery,58.23,20247445504.0,CNY,0.09875664018036125,0.22091286545153882,0.020607934054611025,0.04527152745886872,985.0
002154.SZ,BAOXINIAO HOLDING,Apparel Manufacturing,3.9,5691387392.0,CNY,0.14176041013902585,0.17112999721943292,0.030769230769230767,0.11196441711668405,986.0
600479.SS,ZHUZHOU QIANJIN PHARMACEUTICAL ,Drug Manufacturers - Specialty & Generic,10.03,4269650432.0,CNY,0.0987149752497583,0.17179650565626603,0.03489531405782652,0.04883762656566641,1001.0
603282.SS,ZHEJIANG YAGUANG TECHNOLOGY CO ,Specialty Industrial Machinery,15.09,2019343872.0,CNY,0.09489400817613695,0.15758323659032591,0.024519549370444003,0.0028681498985002308,1002.0
