Ticker,Company Name,Industry,Market Price,Market Cap,Market Currency,EBIT/Market Cap,ROIC,D/P,Total Debt/Common Equity,Combined_rank
8062.HK,EFT SOLUTIONS,Software - Infrastructure,0.29,139200000,HKD,0.256602011,0.252725793,0.103448276,0.000191035,661
2660.HK,ZENGAME,Electronic Gaming & Multimedia,2.18,2250501120,HKD,0.372056691,0.360915252,0.064678899,0.002197007,713
1895.HK,XINYUAN PM,Real Estate Services,0.59,349892416,HKD,0.402220779,0.261280429,0.13220339,0.020837975,742
1755.HK,S-ENJOY SERVICE,Real Estate Services,2.8,2439726848,HKD,0.342096084,0.287427185,0.073214286,0.005259034,777
0639.HK,SHOUGANG RES,Coking Coal,2.41,12269478912,HKD,0.255790488,0.192755539,0.124481328,0.002692754,781
9979.HK,GREENTOWN MGMT,Real Estate Services,2.63,5172946944,HKD,0.217060413,0.281009283,0.091254753,0.001896266,817
9983.HK,CC NEW LIFE,Real Estate Services,1.13,1449767296,HKD,0.383264267,0.263740499,0.149557522,0.033017598,821
2530.HK,NUMANS,Packaged Foods,0.67,670000000,HKD,0.310664179,0.507576644,0.074626866,0.014216877,846
9928.HK,TIMES NEIGHBOR,Real Estate Services,0.47,461691808,HKD,0.449176261,0.153502419,0.076595745,0.006393806,887
2529.HK,HOLLWIN URBAN,Specialty Business Services,3.16,505600000,HKD,0.175263054,0.346342054,0.07278481,0.000117254,947
0276.HK,MONGOLIA ENERGY,Coking Coal,0.485,91241112,HKD,9.457140329,0.33625077,0,-1.958838888,966
1568.HK,SUNDART HLDGS,Consulting Services,0.71,1532329088,HKD,0.306156819,0.136272994,0.084507042,0.003877371,973
1555.HK,MIE HOLDINGS,Oil & Gas E&P,0.02,67730600,HKD,4.323954018,0.340440965,0,-1.456352934,981
6038.HK,G & M HLDGS,Engineering & Construction,0.22,220220000,HKD,0.285573517,0.200560008,0.090909091,0.018436251,986
1425.HK,JUSTIN ALLEN H,Apparel Manufacturing,0.7,875000000,HKD,0.267203429,0.322182934,0.08,0.022968675,999
9919.HK,ACTIVATION GP,Advertising Agencies,0.84,625583296,HKD,0.258972708,0.476821017,0.064285714,0.019369042,1044
