Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow
600000.SS,SHANGHAI PUDONG DEVELOPMENT BAN,Banks - Regional,10.67,CNY,CNY,314361675776.0,12-31,0.41,2505906000000.0,1775590000000.0,9461880000000.0,736329000000.0,170511000000.0,,,45257000000.0,-333654000000.0,327479000000.0,-83552000000.0
600004.SS,GUANGZHOU BAIYUN INTERNATIONAL ,Airports & Air Services,8.79,CNY,CNY,20874489856.0,12-31,0.075,17593268620.81,2299113988.4,26190045631.21,17593268620.81,6430868267.12,5072320113.41,632806951.77,441905715.29,2359665123.9,-1505560626.71,-551741242.36
600006.SS,DONGFENG AUTOMOBILE CO LTD,Auto Manufacturers,7.13,CNY,CNY,14259999744.0,12-31,0.03,8309637417.4,180252837.58,19171886082.35,8309637417.4,12069987235.58,11555563045.25,988814179.75,200041171.47,-265554850.55,-98847044.94,-255775588.54
600007.SS,CHINA WORLD TRADE CENTER,Real Estate Services,22.55,CNY,CNY,23006410752.0,12-31,1.1,10738080107.0,1123972465.0,12324321965.0,9653080107.0,3912067946.0,1637456126.0,594217560.0,1262389074.0,1796295378.0,-1858931831.0,-63639368.0
600008.SS,BEIJING CAPITAL ECO-ENVIRONMENT,Conglomerates,3.1,CNY,CNY,22755827712.0,12-31,0.17,72632365655.09,47951990810.94,111183026215.34,30784081491.98,20049988923.69,13078906170.35,1907776481.8600006,3528057052.75,4082799965.42,-4055171673.0,482602205.37
600009.SS,SHANGHAI INTERNATIONAL AIRPORT ,Airports & Air Services,32.08,CNY,CNY,80402743296.0,12-31,0.0,41742085515.77,20214042720.06,69480530979.72,40541649764.41,11047016050.98,9222977511.94,690648990.44,934049713.44,4020086467.98,-637701803.31,-2641219272.37
600010.SS,INNER MONGOLIA BAOTOU STEEL UNI,Steel,1.77,CNY,CNY,80613769216.0,12-31,0.002,77880829276.88,41119771633.17,155125400366.74,51913300388.93,68089440629.67,62726063636.55,3119491248.15,264629175.96,2377288640.25,4197433709.52,-2069512010.12
600011.SS,HUANENG POWER INTERNATIONAL INC,Utilities - Independent Power Producers,7.08,CNY,CNY,98641387520.0,12-31,0.27,387656475215.0,298078056310.0,586842753960.0,137414784587.0,245550923498.0,208363182422.0,10546482050.0,10135493813.0,50530261245.0,15483206985.0,-63596578883.0
600012.SS,ANHUI EXPRESSWAY COMPANY LTD,Infrastructure Operations,17.57,CNY,CNY,25823156224.0,12-31,0.604,21216060698.37,8172422074.47,24414336538.24,13335168274.45,7091832628.35,4645047480.27,206158857.28999996,1668981126.49,2628757994.25,484453700.85,-1960096858.08
600015.SS,HUAXIA BANK CO,Banks - Regional,7.86,CNY,CNY,126682759168.0,12-31,0.405,1231745000000.0,875009000000.0,4376491000000.0,361982000000.0,97122000000.0,,,27676000000.0,42495000000.0,-34707000000.0,-11164000000.0
