Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow,Past Annual R&D
000001.SZ,PING AN BANK,Banks - Regional,11.03,CNY,CNY,214047064064.0,12-31,0.0,1225730000000.0,756251000000.0,5769270000000.0,474889000000.0,146687000000.0,,,44508000000.0,63336000000.0,-73933000000.0,-31859000000.0,
000002.SZ,CHINA VANKE CO,Real Estate - Development,7.08,CNY,CNY,80905281536.0,12-31,0.0,421638891495.95,381910957666.77,1286259859765.82,202666487973.0,343176440712.96,308264871439.5,35646545143.83,-49478429211.96,3799847632.35,-27672998604.87,10809129605.13,
000004.SZ,SHENZHEN GUOHUA NE,Biotechnology,8.76,CNY,CNY,1159648768.0,12-31,0.0,195574037.27,10696795.36,413449330.43,195574037.27,110048548.32,46660062.71,110995716.39,-156992891.72,-36050910.29,-2279881.27,406614.24,
000006.SZ,SHN ZHENYE GROUP,Real Estate - Development,6.37,CNY,CNY,8599499776.0,12-31,0.0,12908198467.26,8177810551.91,25919169551.13,6972141077.1,2810603447.85,1711373549.34,619709800.3199999,-802652783.79,72763171.55,-1169183297.59,185656582.59,
000007.SZ,SHENZHEN QUANXINHA,Lodging,6.56,CNY,CNY,2272698880.0,12-31,0.0,158243197.79,45379024.76,398229565.98,125759995.83,216387969.48,169758197.08,30257757.019999996,35969277.16,190607652.82,-154075567.62,-6810837.65,
000008.SZ,CHINA HIGH-SPEED R,Railroads,2.71,CNY,CNY,7361389568.0,12-31,0.0,6506198309.41,3731985487.54,9957262709.58,3030848676.98,2082012354.78,1588696826.77,597674720.96,-545308746.31,365014115.29,-105806730.54,65571222.69,
000009.SZ,CHINA BAOAN GROUP,Conglomerates,7.71,CNY,CNY,19885709312.0,12-31,0.03,23672368327.32,18563445886.37,53774802564.92,9914702465.97,20230360494.05,14710077846.52,3394975464.1099997,172625210.4,1662423468.08,1401230263.85,-5128306849.43,
000010.SZ,SHENZHEN ECOBEAUTY,Engineering & Construction,2.56,CNY,CNY,2943104000.0,12-31,0.0,430522016.86,203728685.91,3137807067.53,235022016.86,302915567.26,273545003.62,94129391.57,-498883121.73,-170110822.9,87387745.35,98626742.12,
000011.SZ,SHN PROPS &RES DEV,Real Estate - Development,8.39,CNY,CNY,4599163392.0,12-31,0.0,8307163138.09,5463271838.46,15293205498.3,3361683048.5,2734158884.05,2250014088.33,416131132.73,-1114764922.17,-1423998174.52,312367653.27,-11759531.47,
000012.SZ,CSG HOLDING CO,Building Materials,4.81,CNY,CNY,11403740160.0,12-31,0.25,20709342476.0,7922528800.0,30362057312.0,14050840217.0,18194864366.0,14141072171.0,1897154945.0,1655614446.0,2759788894.0,-56073109.0,-4253234650.0,
000014.SZ,SHAHE INDUSTRIAL C,Real Estate - Development,10.94,CNY,CNY,2647983104.0,12-31,0.0,1623547168.01,12533345.2,2191149488.72,1623547168.01,357907444.53,172827512.9,126253927.35,16446210.84,-141734897.42,-57731175.34,-879809.76,
000016.SZ,KONKA GROUP,Consumer Electronics,4.78,CNY,CNY,8394158080.0,12-31,0.0,15936683609.34,20369110754.95,30412763900.34,2369668838.1,11114763969.59,10626035183.9,1858008735.54,-3295588668.77,173888842.99,-3042920715.39,-31205198.03,
000017.SZ,SHENZHEN CHINA BIC,Leisure,6.17,CNY,CNY,3024169984.0,12-31,0.0,353661246.16,14502702.62,434452097.75,343761246.16,579869315.88,545432979.84,12408190.43,16845245.59,-17152733.19,45304243.03,-1500689.67,
000019.SZ,SHENZHEN CEREALS H,Packaged Foods,6.84,CNY,CNY,7690075648.0,12-31,0.2,6047914623.0,1284012944.66,7398528190.94,4824452103.84,6190005356.82,5228845801.34,405396038.83000004,347824733.68,585816656.19,-295245929.18,-114718339.18,
000020.SZ,S/Z ZHONGHENG HUAF,Electronic Components,11.39,CNY,CNY,2285141760.0,12-31,0.0,403659007.93,0.0,680192681.5,403659007.93,816682662.07,725116468.05,47560273.199999996,36738290.33,109141743.81,-54441065.78,-15835043.8,
000021.SZ,SHENZHEN KAIFA TEC,Computer Hardware,17.5,CNY,CNY,27310323712.0,12-31,0.13,17948440593.83,9028645762.57,27382654775.73,10962137542.77,14264648386.89,11890180974.97,1203611165.3000002,644601244.53,2002232683.5,-2092333496.25,-882153712.27,
000025.SZ,SHN TELLUS HLDNGS,Luxury Goods,17.54,CNY,CNY,7045765632.0,12-31,0.1,1846986073.99,205318299.38,2594459237.89,1726884629.56,2613678204.37,2376764300.06,83438905.35,136629870.8,390288813.85,-56600230.88,-192636002.03,
