Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow
002006.SZ,ZHEJIANG JINGGON.I,Specialty Industrial Machinery,16.12,CNY,CNY,8379063296,12-31,0.15,2737173454.02,459401492.53,4142848400.48,2326167410.6,1728702529.39,1223669415.72,304408803.41,146946964.2,144318651.45,1114198791.3,-252730058.54
002218.SZ,SZ TOPRAYSOLAR CO.,Solar,3.09,CNY,CNY,4366231552,12-31,0.0,5949648809.21,2015345632.28,6806792222.0,4185776598.01,1321746768.22,1008453797.84,183089534.79,10787821.99,164555565.93,151223705.38,-184787290.71
002400.SZ,GUANGDONG ADV GP,Advertising Agencies,7.07,CNY,CNY,12325413888,12-31,0.018,6111078242.94,1304892251.15,10508292236.36,4931066225.12,20658081487.15,19236360312.55,1200361935.0,100930209.75,-296873570.0,73087219.9,21352767.21
002553.SZ,JIANGSU NANFANG PR,Auto Parts,20.88,CNY,CNY,7266239488,12-31,0.0,1162832076.48,30313102.27,1434598769.38,1132806154.26,784110439.23,527359735.94,135873117.07999998,24392801.28,110861113.57,-34813439.49,-29072775.62
002747.SZ,ESTUN AUTOMATION,Specialty Industrial Machinery,18.82,CNY,CNY,16317278208,12-31,0.06,5642603281.83,3879000780.94,10081500504.19,2698612836.87,4651949253.97,3166512485.06,1201993492.3000002,135041886.09,29877272.69,1194941604.4,-678175286.73
002935.SZ,CHENGDU SPACEON EL,Communication Equipment,13.2,CNY,CNY,5630090240,12-31,0.05,1585646746.86,1526983.25,2864056453.24,1585646746.86,964367661.91,734755603.64,145895905.17000002,64197264.83,99472330.64,-47744108.71,-23290426.7
300173.SZ,FUNENG ORIENTAL EQ,Specialty Industrial Machinery,5.37,CNY,CNY,3945478656,12-31,0.0,1315760274.56,523206383.12,4356436949.26,900704948.85,1498139605.0,1098041573.71,284943754.19000006,70139044.86,-18465379.73,31045902.53,165915620.05
300435.SZ,HANGZHOU ZHONGTAI,Specialty Industrial Machinery,13.76,CNY,CNY,5307410944,12-31,0.2,3093875136.78,126202474.28,4542421755.75,2977798327.05,2716634173.45,2201429626.78,210349990.52000004,-77960120.77,325063060.35,-945029459.58,-254266789.42
300669.SZ,HANGZHOU HUNING EL,Specialty Industrial Machinery,21.08,CNY,CNY,4062242560,12-31,0.0,923877226.74,49788242.98,1010892831.36,878527226.74,323599202.97,244665295.09,53890520.94,27707609.07,66877877.44,-59979055.49,-333394906.98
300951.SZ,SHENZHEN BSC TECHN,Electrical Equipment & Parts,27.48,CNY,CNY,4657145344,12-31,0.0,2327462029.58,59527273.15,3005829929.3,2327462029.58,1307454155.07,850400857.27,262280420.11,211401953.66,265980066.84,-208307619.3,-264742482.19
301519.SZ,ANHUI SHUNYU WATER,Waste Management,12.35,CNY,CNY,2027376000,12-31,0.2,2262350060.45,819034708.14,2918010318.84,1515548570.18,704456942.12,470502820.05,113488793.00999999,67711950.65,-286037252.47,887989873.03,-304405677.59
