Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow,Past Annual R&D
0001.HK,CKH HOLDINGS,Conglomerates,42.15,HKD,HKD,161436188672.0,12-31,2.202,794927000000.0,324731000000.0,1112542000000.0,534715000000.0,281351000000.0,136579000000.0,98785000000.0,17088000000.0,54228000000.0,-40346000000.0,-19902000000.0,
0002.HK,CLP HOLDINGS,Utilities - Regulated Electric,64.75,HKD,HKD,163587637248.0,12-31,3.15,169209000000.0,65302000000.0,233713000000.0,104055000000.0,90964000000.0,61635000000.0,14426000000.0,11878000000.0,23140000000.0,-7040000000.0,-16216000000.0,
0003.HK,HK & CHINA GAS,Utilities - Regulated Gas,6.9,HKD,HKD,128753303552.0,12-31,0.35,116340800000.0,56906900000.0,161977600000.0,59852800000.0,56971100000.0,34996000000.0,13837800000.0,6178500000.0,10931700000.0,-12448300000.0,-2495000000.0,
0004.HK,WHARF HOLDINGS,Real Estate - Development,18.54,HKD,HKD,56658796544.0,12-31,0.4,153686000000.0,16854000000.0,190039000000.0,136832000000.0,12115000000.0,4343000000.0,3732000000.0,-3224000000.0,3830000000.0,-3720000000.0,-2587000000.0,
0005.HK,HSBC HOLDINGS,Banks - Diversified,80.8,HKD,USD,1431493279744.0,12-31,0.66,424861000000.0,242347000000.0,3017048000000.0,184973000000.0,67606000000.0,,,23979000000.0,65305000000.0,-26459000000.0,-76564000000.0,
0006.HK,POWER ASSETS,Utilities - Independent Power Producers,49.15,HKD,HKD,104744058880.0,12-31,2.82,91849000000.0,3101000000.0,95702000000.0,88752000000.0,1292000000.0,,,6003000000.0,1138000000.0,-6190000000.0,4612000000.0,
0007.HK,"0007.HK,0P00009RP5,0",N/A,,HKD,HKD,107364488.0,N/A,0.0,4571756000.0,430331000.0,5597291000.0,4143602000.0,511537000.0,480464000.0,59756000.0,250227000.0,-22106000.0,20568000.0,-488000.0,
0008.HK,PCCW,Telecom Services,4.87,HKD,HKD,37698961408.0,12-31,0.383,59407000000.0,53941000000.0,98758000000.0,7488000000.0,37557000000.0,19127000000.0,12710000000.0,-66000000.0,10625000000.0,-3262000000.0,-7695000000.0,
0009.HK,"0009.HK,0P00009TFB,0",N/A,,HKD,HKD,46394272.0,N/A,0.0,950078000.0,1844972000.0,3338245000.0,-889054000.0,17186000.0,2396000.0,70371000.0,-505952000.0,-123652000.0,123583000.0,-89403000.0,
0010.HK,HANG LUNG GROUP,Real Estate Services,10.48,HKD,HKD,14269776896.0,12-31,0.86,153570000000.0,58057000000.0,234968000000.0,95776000000.0,11760000000.0,4934000000.0,665000000.0,1613000000.0,5215000000.0,2385000000.0,-3072000000.0,
0011.HK,HANG SENG BANK,Banks - Regional,99.75,HKD,HKD,187756429312.0,12-31,6.8,206591000000.0,37971000000.0,1795196000000.0,169522000000.0,41572000000.0,,,18379000000.0,158651000000.0,-18860000000.0,-83812000000.0,
0012.HK,HENDERSON LAND,Real Estate - Diversified,20.9,HKD,HKD,101185052672.0,12-31,1.8,418377000000.0,93087000000.0,542550000000.0,326542000000.0,27570000000.0,17540000000.0,3823000000.0,9261000000.0,14460000000.0,-5417000000.0,16000000.0,
0013.HK,HUTCHMED,Drug Manufacturers - Specialty & Generic,22.1,HKD,USD,18892935168.0,12-31,0.0,842735000.0,89820000.0,1274196000.0,759929000.0,630201000.0,348884000.0,321927000.0,37729000.0,497000.0,-30667000.0,-96060000.0,
0014.HK,HYSAN DEV,Real Estate Services,12.3,HKD,HKD,12632222720.0,12-31,1.08,101944000000.0,26514000000.0,114089000000.0,75430000000.0,3409000000.0,646000000.0,308000000.0,35000000.0,2356000000.0,-2088000000.0,-1286000000.0,
0016.HK,SHK PPT,Real Estate - Development,70.9,HKD,HKD,205468188672.0,06-30,3.75,733804000000.0,129654000000.0,818094000000.0,606717000000.0,71506000000.0,39292000000.0,7228000000.0,19046000000.0,24516000000.0,-13109000000.0,-9613000000.0,
0017.HK,NEW WORLD DEV,Real Estate - Diversified,4.58,HKD,HKD,11526028288.0,06-30,0.0,372662300000.0,160952400000.0,445157600000.0,216112400000.0,35782200000.0,22933000000.0,6220600000.0,-17507400000.0,337500000.0,-31807900000.0,6487800000.0,
0018.HK,ORIENTAL E H,Publishing,0.36,HKD,HKD,863251264.0,03-31,0.04,1788989000.0,14131000.0,1956771000.0,1781397000.0,628996000.0,89210000.0,462679000.0,75096000.0,-113193000.0,-1300000.0,17680000.0,
0019.HK,SWIRE PACIFIC A,Conglomerates,64.15,HKD,HKD,78672920576.0,12-31,3.35,349891000000.0,96612000000.0,476561000000.0,258300000000.0,81969000000.0,51506000000.0,20893000000.0,4321000000.0,10458000000.0,12621000000.0,-14598000000.0,
