Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow,Past Annual R&D
A,"Agilent Technologies, Inc.",Diagnostics & Research,102.81,USD,USD,29311438848.0,10-31,0.956,9288000000.0,3390000000.0,11846000000.0,5898000000.0,6510000000.0,2975000000.0,2047000000.0,1289000000.0,1751000000.0,-752000000.0,-1258000000.0,
AA,Alcoa Corporation,Aluminum,24.32,USD,USD,6296082944.0,12-31,0.4,7752000000.0,2818000000.0,14064000000.0,5157000000.0,11895000000.0,10044000000.0,1023000000.0,60000000.0,622000000.0,201000000.0,-608000000.0,
AACT,Ares Acquisition Corporation II,Shell Companies,11.23,USD,USD,694684416.0,12-31,0.0,533660451.0,5000000.0,551901020.0,528660451.0,0.0,,,25986159.0,-929804.0,0.0,0.0,
AAM,AA Mission Acquisition Corp.,Shell Companies,10.27,USD,USD,451612992.0,12-31,0.0,,,,,,,,,,,,
AAMI,Acadian Asset Management Inc.,Asset Management,26.42,USD,USD,979291648.0,12-31,0.04,294300000.0,341600000.0,703200000.0,20000000.0,505600000.0,266400000.0,103700000.0,85000000.0,55800000.0,-54400000.0,-50100000.0,
AAP,Advance Auto Parts Inc.,Auto Parts,32.94,USD,USD,1970902272.0,12-28,1.0,3959103000.0,3686326000.0,10798109000.0,2169942000.0,9094327000.0,5685807000.0,4121826000.0,-335788000.0,84633000.0,-75010000.0,1354754000.0,
AAT,"American Assets Trust, Inc.",REIT - Diversified,18.94,USD,USD,1464370816.0,12-31,1.34,3186416000.0,2031153000.0,3273365000.0,1175901000.0,457854000.0,167727000.0,160929000.0,72818000.0,207106000.0,213072000.0,-77407000.0,
AB,AllianceBernstein Holding L.P.,Asset Management,37.0,USD,USD,4089609984.0,12-31,3.26,,,2034632000.0,2031862000.0,461949000.0,,,423374000.0,340481000.0,-340481000.0,0.0,
ABBV,AbbVie Inc.,Drug Manufacturers - General,173.78,USD,USD,307413352448.0,12-31,6.29,70469000000.0,67144000000.0,135161000000.0,3325000000.0,56334000000.0,16904000000.0,27536000000.0,4278000000.0,18806000000.0,-5211000000.0,-20820000000.0,
ABCB,Ameris Bancorp,Banks - Regional,54.01,USD,USD,3730394880.0,12-31,0.65,4175619000.0,424097000.0,26262050000.0,3751522000.0,1103803000.0,,,358685000.0,154193000.0,745562000.0,-846682000.0,
ABEV,Ambev S.A.,Beverages - Brewers,2.43,USD,BRL,38022696960.0,12-31,0.668,99129700000.0,3452700000.0,162508300000.0,98642100000.0,89452700000.0,43615100000.0,24330800000.0,14437200000.0,26098800000.0,-10352000000.0,-5463400000.0,
ABG,Asbury Automotive Group Inc,Auto & Truck Dealerships,223.0,USD,USD,4383667200.0,12-31,0.0,8553400000.0,5279500000.0,10337000000.0,3502000000.0,17188600000.0,14239900000.0,1963600000.0,430300000.0,671200000.0,-510300000.0,-137200000.0,
ABM,ABM Industries Incorporated,Specialty Business Services,47.27,USD,USD,2941678336.0,10-31,0.94,3115600000.0,1452400000.0,5097200000.0,1781800000.0,8359400000.0,,,81400000.0,226700000.0,-61500000.0,-171900000.0,
ABR,Arbor Realty Trust,REIT - Mortgage,11.22,USD,USD,2156057600.0,12-31,1.72,9551693000.0,7161292000.0,13490981000.0,2390401000.0,625936000.0,,,264641000.0,461517000.0,-2490314000.0,1151769000.0,
ABT,Abbott Laboratories,Medical Devices,131.73,USD,USD,228461969408.0,12-31,2.28,61789000000.0,15021000000.0,81414000000.0,47664000000.0,41950000000.0,18706000000.0,16419000000.0,13402000000.0,8558000000.0,-5404000000.0,-2338000000.0,
AC,"Associated Capital Group, Inc.",Asset Management,33.95,USD,USD,718123968.0,12-31,0.2,892706000.0,,935289000.0,892706000.0,13175000.0,24163000.0,7765000.0,44328000.0,26874000.0,-59208000.0,10980000.0,
ACA,"Arcosa, Inc.",Engineering & Construction,76.73,USD,USD,3742567424.0,12-31,0.2,4117100000.0,1688900000.0,4915500000.0,2428200000.0,2569900000.0,2054700000.0,320000000.0,93700000.0,502000000.0,1089400000.0,-1508900000.0,
