Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN
1,CKH HOLDINGS,Equity,Equity Securities (Main Board),500,HKD 1.0000,KYG217651051
2,CLP HOLDINGS,Equity,Equity Securities (Main Board),500,,HK0002007356
3,HK & CHINA GAS,Equity,Equity Securities (Main Board),"1,000",,HK0003000038
4,WHARF HOLDINGS,Equity,Equity Securities (Main Board),"1,000",,HK0004000045
5,HSBC HOLDINGS,Equity,Equity Securities (Main Board),400,USD 0.5000,GB0005405286
6,POWER ASSETS,Equity,Equity Securities (Main Board),500,,HK0006000050
7,WISDOM WEALTH,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG4643R1088
8,PCCW,Equity,Equity Securities (Main Board),"1,000",,HK0008011667
9,KEYNE LTD,Equity,Equity Securities (Main Board),"6,000",HKD 0.0100,BMG525871056
10,HANG LUNG GROUP,Equity,Equity Securities (Main Board),"1,000",,HK0010000088
11,HANG SENG BANK,Equity,Equity Securities (Main Board),100,,HK0011000095
12,HENDERSON LAND,Equity,Equity Securities (Main Board),"1,000",,HK0012000102
13,HUTCHMED,Equity,Equity Securities (Main Board),500,USD 0.1000,KYG4672N1198
14,HYSAN DEV,Equity,Equity Securities (Main Board),"1,000",,HK0014000126
16,SHK PPT,Equity,Equity Securities (Main Board),500,,HK0016000132
17,NEW WORLD DEV,Equity,Equity Securities (Main Board),"1,000",,HK0000608585
18,ORIENTAL E H,Equity,Equity Securities (Main Board),"2,000",,HK0018000155
19,SWIRE PACIFIC A,Equity,Equity Securities (Main Board),500,,HK0019000162
20,SENSETIME-W,Equity,Equity Securities (Main Board),"1,000",USD 0.000000025,KYG8062L1041
21,GREAT CHI HLDGS,Equity,Equity Securities (Main Board),"5,000",,HK0000132420
22,MEXAN,Equity,Equity Securities (Main Board),"40,000",HKD 0.0200,BMG6051D1175
23,BANK OF E ASIA,Equity,Equity Securities (Main Board),200,,HK0023000190
25,CHEVALIER INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 1.2500,BMG2097Z1471
26,CHINA MOTOR BUS,Equity,Equity Securities (Main Board),200,,HK0026000205
27,GALAXY ENT,Equity,Equity Securities (Main Board),"1,000",,HK0027032686
28,TIAN AN,Equity,Equity Securities (Main Board),"1,000",,HK0028013271
29,DYNAMIC HOLD,Equity,Equity Securities (Main Board),"2,000",HKD 1.0000,BMG2889K1678
30,BAN LOONG HOLD,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG0865U1009
31,CHINA AEROSPACE,Equity,Equity Securities (Main Board),"2,000",,HK0031044180
32,CROSS-HAR(HOLD),Equity,Equity Securities (Main Board),"1,000",,HK0032009356
33,INTL GENIUS,Equity,Equity Securities (Main Board),"6,000",HKD 0.0100,KYG0252B1115
34,KOWLOON DEV,Equity,Equity Securities (Main Board),"1,000",,HK0034000254
35,FE CONSORT INTL,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,KYG3307Z1090
36,FE HLDGS INTL,Equity,Equity Securities (Main Board),"3,000",,HK0036029863
37,FE HOTELS,Equity,Equity Securities (Main Board),"2,000",,HK0037039283
38,FIRST TRACTOR,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE100000320
39,CH BEIDAHUANG,Equity,Equity Securities (Main Board),"8,000",HKD 0.1000,KYG2117W1087
40,GOLD PEAK,Equity,Equity Securities (Main Board),"1,000",,HK0040000298
41,GREAT EAGLE H,Equity,Equity Securities (Main Board),"1,000",HKD 0.5000,BMG4069C1486
42,NE ELECTRIC,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE1000003V0
45,HK&S HOTELS,Equity,Equity Securities (Main Board),500,,HK0045000319
46,COMPUTER & TECH,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG2335C1082
48,C AUTO INT DECO,Equity,Equity Securities (Main Board),"10,000",HKD 0.0250,KYG211351500
50,HK FERRY (HOLD),Equity,Equity Securities (Main Board),"1,000",,HK0050000345
51,HARBOUR CENTRE,Equity,Equity Securities (Main Board),"1,000",,HK0051000351
52,FAIRWOOD HOLD,Equity,Equity Securities (Main Board),500,HKD 1.0000,BMG3305Y1619
53,GUOCO GROUP,Equity,Equity Securities (Main Board),"1,000",USD 0.5000,BMG420981224
55,NEWAY GROUP,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG6433R1319
57,CHEN HSONG HOLD,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG208741063
58,SUNWAY INT'L,Equity,Equity Securities (Main Board),"20,000",HKD 0.1000,BMG858331389
59,SKYFAME REALTY,Equity,Equity Securities (Main Board),"2,000",HKD 0.003333333333,BMG8220B1476
60,HK FOOD INV,Equity,Equity Securities (Main Board),"2,000",,HK0060028229
61,GREEN LEADER,Equity,Equity Securities (Main Board),"20,000",HKD 0.0010,BMG4165P1187
