Ticker,Company Name,Industry,Market Price,Market Cap,Market Currency,EBIT/Market Cap,ROIC,D/P,Total Debt/Common Equity,Combined_rank
PSIG,PS International Group Ltd.,Integrated Freight & Logistics,0.4186,10441642.0,USD,0.5755415671213397,0.46963872213170504,0.0,0.00507306182756982,181.0
KSPI,Joint Stock Company Kaspi.kz - ,Software - Infrastructure,84.92,16667587584.0,USD,76.25938628456048,0.7310488416499874,30.028261893546865,0.14596130828407672,200.0
KARO,Karooooo Ltd.,Software - Application,40.47,1300078592.0,USD,0.8018761376542995,0.34360736613675974,0.4829750432419076,0.09009034866134936,208.0
JFIN,Jiayin Group Inc.,Internet Content & Information,10.67,552598208.0,USD,2.4112817969905542,0.5593581572207522,0.0,0.020132309548427235,232.0
RAY,Raytech Holding Limited,Household & Personal Products,2.86,50373464.0,USD,0.22550555586171322,0.36554741658013223,0.0,0.0,282.0
IBKR,"Interactive Brokers Group, Inc.",Capital Markets,157.48,67417186304.0,USD,0.11630565483173802,1.8260363297624593,0.006350012700025401,0.0032710280373831778,351.0
DXST,Decent Holding Inc.,Waste Management,1.0826,17592250.0,USD,0.14237996845201722,0.4992285705345236,0.0,0.008336141943818888,402.0
SIGA,SIGA Technologies Inc.,Drug Manufacturers - Specialty & Generic,6.13,437908192.0,USD,0.1598126622851577,0.3242897562923576,0.0,0.0025338643707321696,405.0
DHIL,"Diamond Hill Investment Group, ",Asset Management,128.32,359781056.0,USD,0.12199583682360418,0.27040930276503394,0.046758104738154616,0.03903179602707132,480.0
ITRN,Ituran Location and Control Ltd,Scientific & Technical Instruments,33.35,665242432.0,USD,0.09969598571848165,0.37888326497035063,0.05007496251874063,0.04966352161601339,488.0
TROW,"T. Rowe Price Group, Inc.",Asset Management,86.18,19152816128.0,USD,0.1293073552969265,0.23939142034140778,0.05755395683453237,0.02693950934714946,491.0
PAX,Patria Investments Limited,Asset Management,10.08,1560716544.0,USD,0.10354859158845439,0.2979046579746317,0.0867063492063492,0.02919137530899244,506.0
POWL,"Powell Industries, Inc.",Electrical Equipment & Parts,165.845,2017703424.0,USD,0.08860221867770394,0.37007450219739046,0.006391510145014924,0.0025172178946039213,524.0
PDD,PDD Holdings Inc.,Internet Retail,98.34,136571641856.0,USD,0.4298019794028067,0.3039470033662711,0.0,0.05429295957708801,551.0
